Story_ID,Hackernews_Score,Story_Title,Story_Url
11,5,Participation Inequality: Encouraging More Users to Contribute,http://www.useit.com/alertbox/participation_inequality.html
130,,,
2020,,,
23308854,86,How to detect if an object has been garbage collected in JavaScript,http://stevehanov.ca/blog/?id=148
23309269,1594,AWS services explained in one line each,https://adayinthelifeof.nl/2020/05/20/aws.html
23310757,20,Mission and marketing in computer science degrees,https://www.cs.kent.ac.uk/people/staff/srk21/blog/2020/05/26/#marketing-speak-in-cs-programmes
23313938,13,When Good Waves Go Rogue (2014),http://oceans.nautil.us/article/547/when-good-waves-go-rogue
23314317,11,The Philip Roth Archive,https://www.tabletmag.com/sections/arts-letters/articles/philip-roth-letters
23314635,133,Nitrome to convert its Flash game library to HTML5,http://www.nitrome.com/blog/articles/1427/
23318583,21,A Novel Way to Think About Literary Categories,https://www.nybooks.com/daily/2020/05/25/a-novel-way-to-think-about-literary-categories/
23318995,21,"A history of the codpiece, the personal protection for Renaissance equipment",https://www.newyorker.com/books/page-turner/a-brief-history-of-the-codpiece-the-personal-protection-for-renaissance-equipment
23319576,175,A third of Americans now show signs of clinical anxiety or depression,https://www.washingtonpost.com/health/2020/05/26/americans-with-depression-anxiety-pandemic/
23319848,318,A lot of “idiotic” things have reasonable explanations (2011),https://www.theatlantic.com/business/archive/2011/12/if-everyone-else-is-such-an-idiot-how-come-youre-not-rich/249430/
23319901,841,Supabase (YC S20) – An open source Firebase alternative,https://supabase.io/
23320097,207,macOS Catalina 10.15.5,https://support.apple.com/en-us/HT210642#macos10155
23320803,104,How to build your own feature store for ML,https://www.logicalclocks.com/blog/how-to-build-your-own-feature-store
23321096,19,The Concurnas Programming Language,https://concurnas.com/
23321306,80,Dutch Scientists Find a Novel Coronavirus Early-Warning Signal,https://www.bloomberg.com/news/articles/2020-03-31/coronavirus-in-sewage-portended-covid-19-outbreak-in-dutch-city
23322112,352,Trump threatens to 'close' down social media platforms,https://techcrunch.com/2020/05/27/after-twitter-fact-check-trump-threatens-to-regulate-or-close-down-social-media-platforms/
23322117,60,Ask HN: Software for producing terminal-based tutorials?,
23322321,219,Speech to Text on iPhone vs. Pixel,https://twitter.com/jamescham/status/1265512829806927873
23322689,59,A Monday Is a Tuesday Is a Sunday as Covid-19 Disrupts Internal Clocks,https://www.scientificamerican.com/article/a-monday-is-a-tuesday-is-a-sunday-as-covid-19-disrupts-internal-clocks/
23322730,927,Google no longer providing original URL in AMP for image search results,https://twitter.com/zenexer/status/1265633022709301249
23322793,109,2020 Developer Survey Results,https://stackoverflow.blog/2020/05/27/2020-stack-overflow-developer-survey-results/
23322978,156,HBO Max taking on Netflix with human curation instead of relying on algorithms,https://www.theverge.com/21268972/hbo-max-design-recommendation-human-curation-friends-kids-profiles
23324147,146,"Americans, it turns out, would rather visit a store than buy food online",https://www.bloomberg.com/news/articles/2020-05-27/has-online-grocery-shopping-peaked-most-still-prefer-in-store
23324225,88,Achieving Accessibility Through Simplicity,https://sourcehut.org/blog/2020-05-27-accessibility-through-simplicity/
23324521,173,Roman mosaic floor found under Italian vineyard,https://www.bbc.co.uk/news/world-europe-52818746
23324598,507,Show HN: Obsidian – A knowledge base that works on local Markdown files,https://obsidian.md/
23324877,445,"Boeing cutting more than 12,000 U.S. jobs with thousands more planned",https://www.reuters.com/article/us-boeing-jobs/boeing-laying-off-6700-u-s-workers-with-thousands-more-planned-idUSKBN2332EP
23324898,100,GE switches off light bulb business after almost 130 years,https://arstechnica.com/information-technology/2020/05/ge-switches-off-light-bulb-business-after-almost-130-years/
23324930,186,Hong Kong’s security law is going to devastate its economy,https://asia.nikkei.com/Opinion/Hong-Kong-security-law-is-going-to-devastate-its-economy
23324961,250,Maximator: European signals intelligence cooperation,https://www.tandfonline.com/doi/full/10.1080/02684527.2020.1743538
23324979,88,Gatsby raises $28M Series B led by Index Ventures,https://www.forbes.com/sites/davidjeans/2020/05/27/gatsby-website-building-startup-backed-by-index-ventures-raises-28-million/#18bc10047f3e
